drift,system,problem,relearn counts,0-50,51-100,101-150,151-200
reoccurring,open_loop,intrusion-detection_intrusion-detection-aaai_p20_hyp-3_10_0_-openloop_per50.0.csv,20,0.9933684210526316,0.8560955961331901,0.9285714285714286,0.8866541353383458
reoccurring,open_loop,blocks-world_block-words_p04_-openloop_per50.0.csv,20,0.5633157894736842,0.5023361976369495,0.568984962406015,0.501342642320086
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid_p06_hyp-3_10_1_-openloop_per50.0.csv,20,0.6731111111111111,0.8561224489795918,0.641156462585034,0.8524943310657597
reoccurring,open_loop,sokoban_sokoban_p01_hyp-3_10_1_-openloop_per50.0.csv,20,0.6905555555555555,0.7087301587301588,0.6742630385487528,0.7172335600907029
reoccurring,open_loop,logistics_logistics-aaai_p03_hyp-2_10_0_-openloop_per50.0.csv,20,0.8955555555555555,0.8353741496598639,0.8692743764172336,0.85
reoccurring,open_loop,blocks-world_block-words_p03_-openloop_per50.0.csv,20,0.6168684210526315,0.5026584317937701,0.594656283566058,0.4959989258861439
reoccurring,open_loop,sokoban_sokoban_p07_hyp-4_10_1_-openloop_per50.0.csv,20,0.853,0.7690476190476191,0.8074829931972789,0.7493197278911564
reoccurring,open_loop,depots_problem03_-openloop_per50.0.csv,20,0.6633928571428571,0.6284620991253644,0.6277332361516035,0.6780247813411079
reoccurring,open_loop,ferry_ferry_p05_hyp-3_10_1_-openloop_per50.0.csv,20,0.7730357142857143,0.6926020408163265,0.7425291545189504,0.6860422740524781
reoccurring,open_loop,satellite_satellite_p02_hyp-3_10_1_-openloop_per50.0.csv,20,0.7233333333333334,0.49421768707482994,0.6265306122448979,0.48877551020408166
reoccurring,open_loop,satellite_satellite_p01_hyp-2_10_1_-openloop_per50.0.csv,20,0.699,0.4935374149659864,0.6700680272108843,0.5047619047619047
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid-aaai_p10-5-5_hyp-2_10_0_-openloop_per50.0.csv,20,0.848,0.7586734693877552,0.8295918367346938,0.7408163265306122
